X,movie,Critic_Pick,Review_url,negative,positive,sentiment
55,Into the Woods,1,http://www.nytimes.com/2014/12/25/movies/into-the-woods-disneys-take-on-the-sondheim-lapine-classic.html,41,37,negative
56,Django Unchained,1,http://www.nytimes.com/2012/12/25/movies/quentin-tarantinos-django-unchained-stars-jamie-foxx.html,76,47,negative
57,Taken 2,0,http://www.nytimes.com/2012/10/05/movies/taken-2-directed-by-olivier-megaton.html,9,4,negative
58,The Village,0,http://www.nytimes.com/movie/review?res=9D0DE1D7103DF933A05754C0A9629C8B63,42,27,negative
59,The Nun,0,http://www.nytimes.com/2018/09/05/movies/the-nun-review.html,12,9,negative
60,The Vow,0,http://www.nytimes.com/2012/02/10/movies/the-vow-with-rachel-mcadams-and-channing-tatum.html,31,22,negative
61,Catch Me if You Can,1,http://www.nytimes.com/movie/review?res=9C00E1D7123CF936A15751C1A9649C8B63,45,51,positive
62,Angels & Demons,0,http://www.nytimes.com/2009/05/15/movies/15ange.html,48,36,negative
63,Tangled,1,http://www.nytimes.com/2010/11/24/movies/24tangled.html,39,44,positive
64,Click,0,http://www.nytimes.com/2006/06/23/movies/23clic.html,21,23,positive
65,Safe House,0,http://www.nytimes.com/2012/02/10/movies/safe-house-with-denzel-washington-and-ryan-reynolds.html,37,26,negative
66,The Fast and the Furious,0,http://www.nytimes.com/movie/review?res=9401E2D61630F931A15755C0A9679C8B63,42,24,negative
67,Fifty Shades Freed,0,http://www.nytimes.com/2018/02/08/movies/fifty-shades-freed-review-jamie-dornan-dakota-johnson.html,8,11,positive
68,Over the Hedge,0,http://www.nytimes.com/2006/05/19/movies/19hedg.html,23,17,negative
69,The Cat in the Hat,0,http://www.nytimes.com/movie/review?res=9F02E7DB143BF932A15752C1A9659C8B63,53,23,negative
70,Puss in Boots,0,http://www.nytimes.com/2011/10/28/movies/puss-in-boots-with-antonio-banderas-review.html,25,26,positive
71,Mr. Deeds,0,http://www.nytimes.com/movie/review?res=9C0DE3D7123EF93BA15755C0A9649C8B63,47,27,negative
72,Magic Mike,1,http://www.nytimes.com/2012/06/29/movies/magic-mike-by-steven-soderbergh-with-channing-tatum.html,40,49,positive
73,District 9,1,http://www.nytimes.com/2009/08/14/movies/14district.html,38,15,negative
74,Noah,0,http://www.nytimes.com/2014/03/28/movies/russell-crowe-confronts-lifes-nasty-weather-in-noah.html,57,39,negative
75,Ocean's Eleven,1,http://www.nytimes.com/movie/review?res=9F03E5D8123CF934A35751C1A9679C8B63,50,43,negative
76,Bee Movie,0,http://www.nytimes.com/2007/11/02/movies/02bee.html,35,31,negative
77,Sully,1,http://www.nytimes.com/2016/09/09/movies/sully-review.html,54,34,negative
78,Wonder,1,http://www.nytimes.com/2017/11/16/movies/wonder-review-jacob-tremblay-julia-roberts-owen-wilson.html,11,21,positive
79,Kung Fu Panda 3,0,http://www.nytimes.com/2016/01/29/movies/bryan-cranston-jack-black-kung-fu-panda-3-review.html,11,10,negative
80,Spy Kids 3-D: Game Over,0,http://www.nytimes.com/movie/review?res=9F02E1DD123FF936A15754C0A9659C8B63,28,15,negative
81,The Angry Birds Movie,0,http://www.nytimes.com/2016/05/20/movies/-the-angry-birds-movie-review.html,13,17,positive
82,Rampage,0,http://www.nytimes.com/2018/04/11/movies/rampage-review-dwayne-johnson.html,16,10,negative
